Plotcode,Brorub,Brotec,Erocic,Schbar,Cover,Species
SNP642,4.84,0.00,7.11,0.00,11.95,2
SNP643,2.61,0.00,0.30,0.00,2.91,2
SNP645,3.87,7.27,0.00,0.00,11.14,2
SNP647,12.33,1.34,0.97,0.00,14.64,3
SNP648,1.23,0.00,5.49,0.00,6.72,2
SNP649,0.22,0.90,0.52,0.00,1.64,3
SNP652,11.42,0.67,10.87,0.00,22.96,3
SNP653,11.67,0.00,10.47,0.00,22.14,2
SNP657,0.95,0.00,0.42,0.09,1.46,3
SNP662,10.67,0.00,10.73,0.00,21.40,2
SNP663,12.83,0.05,14.93,0.00,27.81,3
SNP665,6.27,0.02,1.04,0.01,7.34,4
SNP666,13.40,0.09,28.27,0.03,41.79,4
SNP667,1.25,5.31,0.01,0.00,6.57,3
SNP668,28.67,1.45,10.80,0.00,40.92,3
SNP669,11.73,10.73,16.33,0.00,38.79,3
SNP670,2.55,0.00,0.08,0.00,2.63,2
SNP672,7.27,0.08,0.00,0.00,7.35,2
SNP673,7.42,14.00,7.16,0.00,28.58,3
SNP674,0.38,0.00,21.27,0.00,21.65,2
SNP676,2.43,0.00,4.30,0.00,6.73,2
SNP677,26.53,2.45,36.27,0.05,65.30,4
SNP681,0.00,0.73,0.35,0.00,1.08,2
SNP705,0.04,0.00,0.00,0.00,0.04,1
SNP706,0.00,0.00,0.00,0.00,0.00,0
SNP708,0.00,0.00,0.00,0.00,0.00,0
SNP709,0.00,0.00,0.00,0.00,0.00,0
SNP710,0.00,0.17,0.00,0.00,0.17,1
SNP714,10.47,0.72,1.83,0.00,13.02,3
SNP716,0.00,0.00,0.00,0.00,0.00,0
SNP717,0.17,0.00,35.60,0.53,36.30,3
SNP718,0.00,0.11,0.00,0.00,0.11,1
SNP720,0.00,0.00,0.00,0.00,0.00,0
SNP721,0.00,0.00,0.00,0.00,0.00,0
SNP723,7.13,1.49,51.00,0.00,59.62,3
SNP725,0.00,0.00,0.00,0.00,0.00,0
SNP727,6.00,0.32,8.43,0.00,14.75,3
SNP728,0.00,0.00,0.00,0.00,0.00,0
SNP729,0.00,0.00,0.00,0.00,0.00,0
SNP732,0.89,0.00,46.87,21.58,69.34,3
SNP733,6.73,0.00,3.55,0.00,10.28,2
SNP735,0.70,0.00,18.40,2.28,21.38,3
SNP736,20.81,3.01,11.27,0.00,35.09,3
SNP737,5.59,0.03,0.63,0.00,6.25,3
SNP738,7.28,0.33,0.07,0.00,7.68,3
SNP739,1.75,0.00,60.80,24.15,86.70,3
SNP740,4.07,0.00,6.75,0.00,10.82,2
SNP741,2.00,0.00,18.87,9.03,29.90,3
SNP742,0.00,0.00,0.00,0.00,0.00,0
SNP744,0.37,0.00,17.67,0.28,18.32,3
SNP745,0.00,0.00,0.00,0.00,0.00,0
SNP746,23.80,2.63,13.67,0.00,40.10,3
SNP747,0.00,0.00,0.00,0.00,0.00,0
SNP748,0.80,0.05,0.13,0.00,0.98,3
SNP749,0.00,0.00,0.00,0.00,0.00,0
SNP750,1.01,0.05,1.58,0.00,2.64,3
SNP751,14.47,0.00,8.07,0.00,22.54,2
SNP752,0.00,0.00,0.00,0.00,0.00,0
SNP753,21.94,0.00,2.61,0.00,24.55,2
SNP755,0.00,0.00,0.00,0.00,0.00,0
SNP756,0.00,0.00,0.00,0.00,0.00,0
SNP757,14.53,1.78,11.93,0.00,28.24,3
SNP758,2.63,0.36,0.09,0.00,3.08,3
SNP759,14.00,2.05,14.55,0.00,30.60,3
SNP760,0.13,0.00,22.73,0.67,23.53,3
SNP761,30.53,4.63,15.40,0.00,50.56,3
SNP766,0.00,0.00,0.00,0.00,0.00,0
SNP767,0.00,0.00,0.00,0.00,0.00,0
SNP768,26.60,1.13,17.60,0.00,45.33,3
SNP769,0.36,0.00,18.27,2.24,20.87,3
SNP770,0.00,0.00,0.00,0.00,0.00,0
SNP771,0.00,0.00,0.00,0.00,0.00,0
SNP772,1.33,0.00,8.69,0.00,10.02,2
SNP775,11.07,0.00,2.25,0.00,13.32,2
SNP776,1.08,0.00,24.93,2.45,28.46,3
SNP777,2.15,0.29,0.29,0.00,2.73,3
SNP778,0.00,0.00,0.00,0.00,0.00,0
SNP779,0.00,0.00,0.00,0.00,0.00,0
SNP781,0.00,0.00,0.00,0.00,0.00,0
